1st army:
HealingTower10 - heal power 15, hp 30
AttackingTower11 - attack power 20, hp 30
Cavalry32 - attack power 7, hp 10
Archer43 - attack power 3, hp 3
AttackingTower14 - attack power 20, hp 30
HealingTower15 - heal power 15, hp 30
AttackingTower16 - attack power 20, hp 30
Warrior67 - attack power 2, hp 5
AttackingTower18 - attack power 20, hp 30
HealingTower19 - heal power 15, hp 30
CavalryArcher210 - attack power 10, hp 7
AttackingTower111 - attack power 20, hp 30
AttackingTower112 - attack power 20, hp 30
Warrior613 - attack power 2, hp 5
Warrior614 - attack power 2, hp 5
Cavalry315 - attack power 7, hp 10
Archer416 - attack power 3, hp 3
Archer417 - attack power 3, hp 3
Warrior618 - attack power 2, hp 5
Tower119 - attack power 20, hp 30
Archer420 - attack power 3, hp 3
Archer421 - attack power 3, hp 3
CavalryArcher222 - attack power 10, hp 7
CavalryArcher223 - attack power 10, hp 7
Tower124 - attack power 20, hp 30
Tower125 - attack power 20, hp 30
Tower126 - attack power 20, hp 30
Cavalry327 - attack power 7, hp 10
Warrior628 - attack power 2, hp 5
AttackingTower129 - attack power 20, hp 30
Tower130 - attack power 20, hp 30
AttackingTower131 - attack power 20, hp 30
Tower132 - attack power 20, hp 30
Healer533 - heal power 2, hp 3
Warrior634 - attack power 2, hp 5
CavalryArcher235 - attack power 10, hp 7
Healer536 - heal power 2, hp 3
Archer437 - attack power 3, hp 3
HealingTower138 - heal power 15, hp 30
CavalryArcher239 - attack power 10, hp 7
Tower140 - attack power 20, hp 30
HealingTower141 - heal power 15, hp 30
HealingTower142 - heal power 15, hp 30
Warrior643 - attack power 2, hp 5
Tower144 - attack power 20, hp 30
HealingTower145 - heal power 15, hp 30
CavalryArcher246 - attack power 10, hp 7
AttackingTower147 - attack power 20, hp 30
Healer548 - heal power 2, hp 3
Cavalry349 - attack power 7, hp 10
Healer550 - heal power 2, hp 3
Warrior651 - attack power 2, hp 5
HealingTower152 - heal power 15, hp 30
Warrior653 - attack power 2, hp 5
HealingTower154 - heal power 15, hp 30
Warrior655 - attack power 2, hp 5
Archer456 - attack power 3, hp 3
Warrior657 - attack power 2, hp 5
Warrior658 - attack power 2, hp 5
Cavalry359 - attack power 7, hp 10
Archer460 - attack power 3, hp 3
Cavalry361 - attack power 7, hp 10
Archer462 - attack power 3, hp 3
HealingTower163 - heal power 15, hp 30
Warrior664 - attack power 2, hp 5
Warrior665 - attack power 2, hp 5
Archer466 - attack power 3, hp 3
Cavalry367 - attack power 7, hp 10
Healer568 - heal power 2, hp 3
AttackingTower169 - attack power 20, hp 30
Cavalry370 - attack power 7, hp 10
Healer571 - heal power 2, hp 3
Cavalry372 - attack power 7, hp 10
Cavalry373 - attack power 7, hp 10
Archer474 - attack power 3, hp 3
CavalryArcher275 - attack power 10, hp 7
CavalryArcher276 - attack power 10, hp 7
Archer477 - attack power 3, hp 3
CavalryArcher278 - attack power 10, hp 7
Tower179 - attack power 20, hp 30
Tower180 - attack power 20, hp 30
Archer481 - attack power 3, hp 3
Cavalry382 - attack power 7, hp 10
CavalryArcher283 - attack power 10, hp 7
CavalryArcher284 - attack power 10, hp 7
Healer585 - heal power 2, hp 3
CavalryArcher286 - attack power 10, hp 7
Warrior687 - attack power 2, hp 5
HealingTower188 - heal power 15, hp 30
Tower189 - attack power 20, hp 30
CavalryArcher290 - attack power 10, hp 7
Cavalry391 - attack power 7, hp 10
CavalryArcher292 - attack power 10, hp 7
CavalryArcher293 - attack power 10, hp 7
Cavalry394 - attack power 7, hp 10
AttackingTower195 - attack power 20, hp 30
AttackingTower196 - attack power 20, hp 30
Tower197 - attack power 20, hp 30
HealingTower198 - heal power 15, hp 30
AttackingTower199 - attack power 20, hp 30


2nd army:
HealingTower1100 - heal power 15, hp 30
AttackingTower1101 - attack power 20, hp 30
Archer4102 - attack power 3, hp 3
Tower1103 - attack power 20, hp 30
Cavalry3104 - attack power 7, hp 10
HealingTower1105 - heal power 15, hp 30
CavalryArcher2106 - attack power 10, hp 7
HealingTower1107 - heal power 15, hp 30
CavalryArcher2108 - attack power 10, hp 7
Warrior6109 - attack power 2, hp 5
HealingTower1110 - heal power 15, hp 30
Cavalry3111 - attack power 7, hp 10
AttackingTower1112 - attack power 20, hp 30
Archer4113 - attack power 3, hp 3
Healer5114 - heal power 2, hp 3
Archer4115 - attack power 3, hp 3
Healer5116 - heal power 2, hp 3
CavalryArcher2117 - attack power 10, hp 7
CavalryArcher2118 - attack power 10, hp 7
Archer4119 - attack power 3, hp 3
Healer5120 - heal power 2, hp 3
CavalryArcher2121 - attack power 10, hp 7
Tower1122 - attack power 20, hp 30
CavalryArcher2123 - attack power 10, hp 7
CavalryArcher2124 - attack power 10, hp 7
Warrior6125 - attack power 2, hp 5
Warrior6126 - attack power 2, hp 5
Tower1127 - attack power 20, hp 30
AttackingTower1128 - attack power 20, hp 30
Cavalry3129 - attack power 7, hp 10
Archer4130 - attack power 3, hp 3
Cavalry3131 - attack power 7, hp 10
Archer4132 - attack power 3, hp 3
Archer4133 - attack power 3, hp 3
HealingTower1134 - heal power 15, hp 30
HealingTower1135 - heal power 15, hp 30
Tower1136 - attack power 20, hp 30
Cavalry3137 - attack power 7, hp 10
Warrior6138 - attack power 2, hp 5
CavalryArcher2139 - attack power 10, hp 7
HealingTower1140 - heal power 15, hp 30
Warrior6141 - attack power 2, hp 5
Warrior6142 - attack power 2, hp 5
HealingTower1143 - heal power 15, hp 30
Tower1144 - attack power 20, hp 30
Archer4145 - attack power 3, hp 3
Tower1146 - attack power 20, hp 30
HealingTower1147 - heal power 15, hp 30
Tower1148 - attack power 20, hp 30
AttackingTower1149 - attack power 20, hp 30
Archer4150 - attack power 3, hp 3
Archer4151 - attack power 3, hp 3
HealingTower1152 - heal power 15, hp 30
Tower1153 - attack power 20, hp 30
CavalryArcher2154 - attack power 10, hp 7
Healer5155 - heal power 2, hp 3
Archer4156 - attack power 3, hp 3
Archer4157 - attack power 3, hp 3
Cavalry3158 - attack power 7, hp 10
Healer5159 - heal power 2, hp 3
Warrior6160 - attack power 2, hp 5
Tower1161 - attack power 20, hp 30
HealingTower1162 - heal power 15, hp 30
Tower1163 - attack power 20, hp 30
Archer4164 - attack power 3, hp 3
Healer5165 - heal power 2, hp 3
Cavalry3166 - attack power 7, hp 10
Warrior6167 - attack power 2, hp 5
HealingTower1168 - heal power 15, hp 30
Warrior6169 - attack power 2, hp 5
Healer5170 - heal power 2, hp 3
Cavalry3171 - attack power 7, hp 10
CavalryArcher2172 - attack power 10, hp 7
AttackingTower1173 - attack power 20, hp 30
